,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
dttl,0.038703376524243806,0.04854480197389904,0.0,-0.9691607623096792,-0.5249429425988383,-1.7044621141223564,0.08363310976991105,0.0,0.0,0.0,0.0,0.0,-0.26233125544080244,0.7266004147108677,1.7329239883649046,-0.02774034074535694,0.0,0.05403946820481278,-0.05701797140123016,-0.23631588770090067,0.0,0.0,1.1858109288510104,0.0,0.0,0.0,0.0,-0.08529805145402425,0.009669707107514282,-0.004532848913018059,0.0,0.0,0.0,0.0,0.0,0.0,0.1151848615492915,-0.12904601451974557,0.027444595610600517,0.0,0.0,0.02430405962629198,0.0,0.0
sload,-0.009782195432291698,-0.00617382580504785,0.0,0.29820040203115417,0.0,0.002012084785162282,0.003102020361321153,0.0,0.5333765953378783,0.0,-0.007945872004036703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16397744674680034,0.0,0.0,0.09984265294534628,2.2684081532603936e-05,0.0017823712392488725,0.0,0.0,0.0,0.0,0.0,0.0,0.02701523778015197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0198874923722972,0.0,0.0
dload,0.0,0.0,0.0,0.0,0.0,2.2638709521610987,-0.4962709147932602,0.0,0.0,0.0,0.0,0.0,0.0,0.08628650361945288,-2.0874793766669884,0.0,0.0,0.0,-0.04648783626450807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030188077550225047,-0.00901797118707383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038592123110895875,0.0,0.0,0.0,0.0,0.0,0.0
sloss,0.0,0.0,0.0,0.0,0.0,0.24214118243038285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006765233845985522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10192354297364671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dloss,0.0,0.0,0.0,0.0,0.0,1.0233860687784098,0.5840625837281936,0.0,0.0,0.0,0.0,0.0,0.0,-0.769005943773133,0.0,0.0,0.0,0.0,-0.001484418828537106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007128241860139081,0.005311227520155234,0.0,0.0,0.0,0.0,0.0,0.0,0.0008073910309195261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sinpkt,0.0798589777533463,0.0,0.0,0.0,0.0,-0.4890497900590596,0.0,0.0,0.0,0.0,0.0,0.0,-0.018921834514418655,0.06429626378867632,0.4547226322991007,0.0,0.11661997035699143,-0.024628673986955434,-0.017265170351379065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014929843861541548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010430264426991782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dinpkt,0.0,0.0,0.0,0.0,0.0,0.0,0.07591774380323146,0.0,0.0,0.0,0.0,0.0,0.0,-0.07526552560743371,-0.004639358604125876,0.0,0.0,0.6926192024412355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sjit,0.0,0.0,0.0,0.0,0.0,-0.024092877975990832,0.0,0.0,0.0,0.0,0.0,0.0,-0.00923906155480241,0.00392858738848226,0.0,0.0,0.0,0.0,0.5081080304815663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022318307371937695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03413549635719192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
djit,0.0,0.0,0.0,0.0,0.0,0.048143748184183655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swin,0.0,0.0,0.0,-0.6302371599662697,0.012718689396385936,-0.26123610891313465,-0.2666802772324967,0.0,0.0,0.0,0.0,0.0,0.0,0.29933282605851386,0.25089988975416444,0.004507569836865407,-0.007860392948813157,0.0042063147907515416,0.0006966362166429555,0.0,0.0,0.0,0.9972488493647904,0.0,0.0,0.0,0.0,-0.0044286519384857575,0.0006140587388465836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007510089779440166,0.0011736876647109077,0.0,0.0,-0.0040761396082307395,0.0,0.0
stcpb,0.022392319056771203,0.0,0.0,1.239993121150076,-0.5231279243072378,1.7830492001907867,-0.844961735435072,0.0,0.0,0.0,0.0,0.0,0.009191270990025192,1.076380718918381,-1.699409238913818,-0.019041168573668974,0.008918225314756185,0.0701533172736471,-0.00910873474636043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32969195625543707,0.056032605248735594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07882839130556007,0.09046008959286479,0.0,0.0,-0.045990988071943635,0.0,0.0
dtcpb,0.011732329553025148,0.0,0.0,0.5743661552224542,-0.2421841082557606,0.8318458221231083,-0.36365403925841255,0.0,0.0,0.0,0.0,0.0,0.0072978761755231325,0.46728880816163343,-0.7950939212982886,0.0,0.0,0.036382269959295874,-0.005134313121805654,0.0,0.5356476031333801,0.0,0.0,0.0,0.0,0.0,0.0,0.1475897403641363,0.02145129803962515,0.005790618554863813,0.0,0.0,0.0,0.0,0.0,0.0,0.09974253701970213,-0.06253571406052914,0.05303013116992923,0.0,0.0,-0.029855616785448298,0.0,0.0
dwin,0.008835513199154285,0.0,0.0,0.5627924244042558,-0.20623923263351726,0.7823125905842715,-0.3911915785115261,0.0,0.0,0.0,0.0,0.0,0.006517241349429043,0.47115055280862955,-0.7450084633676801,0.0,0.0,0.03418998876714463,-0.0027347695501259727,0.0,0.41429691458731926,0.41395728112141,0.0,0.0,0.0,0.0,0.0,0.14359198118256145,0.026162426989678314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03937280158641097,0.0,0.039538812261438405,0.0,0.0,-0.02844435684395902,0.0,0.0
tcprtt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796720597873135,0.49264290527586135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synack,0.0,-0.07833395730258375,0.0,-0.5605447511159046,0.1203133648117526,-0.27177106582665433,-0.07806208469779684,0.0,0.0,0.0,0.217328008804179,0.0,0.0,0.0,0.2488982480405203,0.0,-0.0033160452149756845,0.014782184793016052,0.0,-0.0886009011650096,0.0,0.002570404389651173,0.15775504708265775,0.0,0.0,0.5526975305480433,0.0,-0.06353868795778585,-0.01234825639468257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02056707791039901,0.0,-0.010101383034801898,0.0,0.0,0.0,0.0,0.0
ackdat,0.0,-0.14224021607560908,0.0,-0.618834918917208,0.1277199602546483,-0.5811884787863738,-0.15049884672881655,0.0,0.0,0.0,0.7222746746639812,0.0,0.0,0.11936332365704744,0.5538639463995187,0.0,0.0,0.012702609353626975,0.002758040796759417,-0.08972567658211977,0.0,0.0,0.1330800076496285,0.0,0.0,0.0,0.0,-0.07085504189957036,-0.011104111335567619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017088616992661843,0.0,-0.009332838026531091,0.0,0.0,0.0,0.0,0.0
smean,0.04528551676278121,0.0,0.0,0.0,0.0,0.012615689099614648,0.5140940349946914,0.0,-0.2879008491135351,0.0,0.0,0.4641196554681852,-0.037874298573934706,-0.31821848054789553,0.0,0.0,0.0,-0.016767789283275773,0.0,0.0,0.0,0.0,0.2764073056013966,-0.022701564456735927,0.0,0.014415244737192355,0.0,-0.1967950782547284,0.0,0.0,0.0,-0.01999775462336661,0.0,0.0,0.0,0.0,-0.0600005014008153,0.0,0.0,0.0,0.0,-0.0127257301648719,0.0,0.0
dmean,-0.08324740342596412,0.0,0.0,0.03080810787562452,1.9062227900418813,-0.6269042624237231,-1.223483943000537,0.0,0.0,0.0,0.0,0.0,0.41655495365241374,-0.48942289984650944,0.5961490113257621,0.0,0.0,-0.09183858181510064,0.20654250040921945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07082901452416349,0.011206734760389863,0.0,0.0,0.0,0.0,0.0,0.0,-0.03841281902426349,0.0,0.1002336682949547,0.0,0.0,-0.018754732734078138,0.0,0.0
trans_depth,0.0,0.0,0.0,0.0,0.0,0.025098266766065015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06097119542670222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
response_body_len,0.0,0.0,0.0,0.0,0.0,0.4135949475081442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009861774089638231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03913031251049076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct_srv_src,0.0,0.18256004729808098,0.15711598554832287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019249993787878417,0.0,0.004404727702128044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01347187336588248,0.0043796268572492796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08736903805216262,0.11313431158252794,0.0,0.1926998399304778,0.0,0.0,0.0,0.0,0.7728148381652383,0.0,0.0,0.0
ct_state_ttl,0.1813135100201783,-0.5106221078729487,0.0,2.8864238336650705,0.19968306834576036,-1.2286660006772638,-0.4595123757172701,0.0,0.0,0.0,0.27470945869136437,0.0,-0.01927101868039783,0.4694379813680169,1.1642200420424313,0.09179703313134803,-0.049496678504110714,0.0168767733189156,-0.02742763488567589,2.636194211022521,0.0,0.0,-3.4571041597425007,17.271049265420604,-9.888071875914664,-8.392334680389098,0.0,-0.06053062692136859,0.0,-0.005415415517202603,0.0,0.0,0.0,0.0,0.0,0.0,-0.010328627147979514,0.0,-0.009411453156155058,0.0,0.0,-0.09987280036896203,0.0,0.0
ct_dst_ltm,0.0,0.0,0.0,-0.38043775237823885,0.0,-0.0006169721843908633,0.0,0.0,0.0,0.0,-0.07977530117728249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368726506149775,0.0,0.0,-0.2809849470959995,-0.008507050498321131,0.0,-0.00390588344653669,0.0,0.0,0.0,0.0,0.0,-0.03334410067846422,0.0,0.9882882052469617,0.0,0.0,0.0,0.008376473915849105,0.0,0.0,0.0,0.0,0.0,0.0
ct_src_dport_ltm,0.0,0.5734947549734366,0.0,0.0,-0.0022397652103386045,0.0,0.0,0.06791608181810034,-0.0180915720367712,0.0,-0.061516135481849796,0.02907361747313705,-0.013157832992152861,0.0,-0.06725341632382394,0.0,0.0,0.0,0.0,-0.17101491087412116,0.0,0.0,0.16593047908417555,0.0,3.3481904455437994e-05,-0.005695490145624329,0.0,-0.00838454535242325,0.0,0.0,0.0,0.03573746655917403,0.0,0.0,0.874221762993725,0.0,0.0,-0.002219332055250643,0.0,0.0,0.0,0.0,0.0,0.0
ct_dst_sport_ltm,0.0,3.790927098538694,0.0,2.6112318309547167,0.0,0.0,0.0,0.0,0.1515720376617838,0.0,-0.09940370882622561,-0.23812635459774506,0.0,0.0,0.0,0.0,0.006919523158031831,0.0,0.0,-0.796152458645466,0.0,0.0,0.0,0.0,0.022381046396664345,0.013899759243389131,-0.02814904228338701,0.0,0.0,0.0,0.0,0.20571953981746222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct_dst_src_ltm,-0.014579178867632794,0.7309477990854302,0.0,0.35015317263926554,0.0,0.0,0.0010200058216282813,0.005966869451090255,-0.011925814629010338,0.061337614326743416,-0.06649364147944088,0.015600573438500145,0.0,0.0,-0.0011374674444230022,0.0,0.0015413061975235718,0.0,0.0,0.13841969233657864,0.0,0.0,-0.24354104307600605,0.0,0.010313983461139833,-0.0025931281356356634,0.0,0.0,0.0,0.0,0.0,0.08873596221407318,0.26731116863651116,0.34714443108781456,0.16935085474868886,0.0,0.0,0.0,0.0,0.0,0.0,-0.00505163865603486,0.0,0.0
is_ftp_login,0.0,0.0,0.0,0.0,0.0,0.01446846249362059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07398801894568216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020378556128377787,-0.010276414899591316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct_ftp_cmd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998855462298153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct_flw_http_mthd,0.012066555575837983,0.0,0.0,0.4585594665063419,-0.09225970689107776,0.3918664422189761,0.2017014467907371,0.0,0.0,0.0,0.0,0.0,-0.03495465903488806,-0.18821055065676912,-0.3518945793226029,0.0,-0.02161855498166884,0.057923082251795835,0.05446737349527111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24092713361054194,0.048955130722498894,0.0,0.0,0.0,0.0,0.0,0.0,-0.0241152882844292,0.0,0.0,0.0,0.0,-0.02052465568042192,0.0,0.0
ct_src_ltm,0.0,-0.2887930670436895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01597656138538315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10565189016781559,0.0,0.0,-0.05700899080462546,0.0,-0.011533476917582518,-0.024464814810685697,0.0,0.0,0.0,0.0,0.11962586574206173,0.0,0.33039565841739554,0.6012964370645687,0.0,0.0,0.0,0.0,0.0,0.0,-0.1248754811041798,-0.020032857117268685,0.0,0.0
ct_srv_dst,0.0,0.6237169929594364,0.3397776338698499,0.14428257804361153,0.0,0.0,0.0,0.0,0.0,-0.030628447875071768,-0.07394712321203205,-0.0039060431813412854,0.02048589558910119,0.0024812552682732933,0.0,0.0,0.0,0.0,0.0,-0.04351015124522744,0.0,0.0,0.0,-0.008797889489732832,0.003085451781968314,0.0,-0.00917847812419738,0.0,0.0,0.0,0.0,0.0,-0.01057075784019898,0.12261924385464266,0.0,0.8412764937095767,0.0,-0.012923656815696292,0.0,0.0,0.0,-0.013200274789363546,0.0,0.0
is_sm_ips_ports,-0.029508596153106335,0.0,0.0,0.0,0.0,0.003637095762482545,0.005207795566935807,0.0,0.0,0.0,0.0,0.0,-0.0019189928488091686,0.0,0.0,0.9561337444337114,-0.12048248755148148,0.01891952333771629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack_cat,0.09475601721246317,3.5683116731135147,0.0,7.7793950387057,-0.3662050937710837,0.2838279521840332,0.3513108331241754,-0.8379648507148694,0.1390142804258016,0.38158712113081045,1.3210775219500388,-0.24938218825017985,-0.07836674842666053,0.0,0.5846335648309189,0.0,0.015472193640289733,-0.05846264780216283,0.0,-2.329473223599625,0.0,0.0,0.4520784471423929,-1.2004307264173681,0.4660279301178926,0.551063198831574,-0.06450082798238978,0.24394818909080196,0.033513133004232754,0.0,0.0,0.6649235064114726,0.0,0.0,0.3838896596752396,0.0,0.04071146426473451,0.0,-0.07147793420007935,0.0,0.0,-0.3305819383159228,0.0,0.0
label,0.06678489020104553,0.0,0.0,1.704840230154524,-0.26751281392774046,-1.070584173812331,0.22625502905498102,0.0,0.0,0.0,0.0,0.0,-0.1401868704519567,0.2215925940562298,1.0673382519080157,0.0,-0.008815019553532198,0.0,-0.034973224059641775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00947732818845123,-0.004327195272551483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005982211832684967,0.0,0.0,0.0,-0.09797068458234354,0.0,0.0
